date,active_cases,hospitalized,ratio
2021-08-22,300.0,39.3,7.633587786259542
2021-08-01,92.0,11.7,7.863247863247864
2021-08-15,239.0,29.9,7.993311036789298
2021-08-08,140.0,17.3,8.092485549132947
2020-08-02,68.0,7.9,8.60759493670886
2021-07-25,56.0,6.4,8.75
2021-09-05,460.0,52.3,8.795411089866157
2021-10-03,286.0,32.1,8.909657320872274
2020-09-06,42.0,4.7,8.936170212765957
2020-10-11,62.0,6.9,8.98550724637681
2020-10-25,124.0,13.6,9.117647058823529
2021-08-29,349.0,38.1,9.16010498687664
2021-09-26,380.0,40.1,9.476309226932669
2021-12-05,164.0,17.3,9.479768786127167
2021-11-28,187.0,19.7,9.49238578680203
