date,cumulative_deaths,daily_deaths,moving_avg_7day
2020-03-21,0,0,0.0
2020-03-22,0,0,0.0
2020-03-23,0,0,0.0
2020-03-24,0,0,0.0
2020-03-25,0,0,0.0
2020-03-26,0,0,0.0
2020-03-27,0,0,0.0
2020-03-28,0,0,0.0
2020-03-29,0,0,0.0
2020-03-30,0,0,0.0
2020-03-31,0,0,0.0
2020-04-01,0,0,0.0
2020-04-02,0,0,0.0
2020-04-03,0,0,0.0
2020-04-04,0,0,0.0
2020-04-05,0,0,0.0
2020-04-06,0,0,0.0
2020-04-07,1,1,0.14285714285714285
2020-04-08,2,1,0.2857142857142857
2020-04-09,2,0,0.2857142857142857
2020-04-10,2,0,0.2857142857142857
2020-04-11,2,0,0.2857142857142857
2020-04-12,2,0,0.2857142857142857
2020-04-13,2,0,0.2857142857142857
2020-04-14,2,0,0.14285714285714285
2020-04-15,2,0,0.0
2020-04-16,2,0,0.0
2020-04-17,2,0,0.0
2020-04-18,3,1,0.14285714285714285
2020-04-19,3,0,0.14285714285714285
2020-04-20,3,0,0.14285714285714285
2020-04-21,3,0,0.14285714285714285
2020-04-22,3,0,0.14285714285714285
2020-04-23,3,0,0.14285714285714285
2020-04-24,3,0,0.14285714285714285
2020-04-25,3,0,0.0
2020-04-26,3,0,0.0
2020-04-27,3,0,0.0
2020-04-28,3,0,0.0
2020-04-29,3,0,0.0
2020-04-30,3,0,0.0
2020-05-01,3,0,0.0
2020-05-02,3,0,0.0
2020-05-03,3,0,0.0
2020-05-04,3,0,0.0
2020-05-05,3,0,0.0
2020-05-06,3,0,0.0
2020-05-07,3,0,0.0
2020-05-08,3,0,0.0
2020-05-09,3,0,0.0
2020-05-10,3,0,0.0
2020-05-11,3,0,0.0
2020-05-12,4,1,0.14285714285714285
2020-05-13,4,0,0.14285714285714285
2020-05-14,4,0,0.14285714285714285
2020-05-15,4,0,0.14285714285714285
2020-05-16,4,0,0.14285714285714285
2020-05-17,4,0,0.14285714285714285
2020-05-18,4,0,0.14285714285714285
2020-05-19,4,0,0.0
2020-05-20,4,0,0.0
2020-05-21,4,0,0.0
2020-05-22,4,0,0.0
2020-05-23,5,1,0.14285714285714285
2020-05-24,5,0,0.14285714285714285
2020-05-25,5,0,0.14285714285714285
2020-05-26,5,0,0.14285714285714285
2020-05-27,6,1,0.2857142857142857
2020-05-28,7,1,0.42857142857142855
2020-05-29,7,0,0.42857142857142855
2020-05-30,7,0,0.2857142857142857
2020-05-31,7,0,0.2857142857142857
2020-06-01,7,0,0.2857142857142857
2020-06-02,7,0,0.2857142857142857
2020-06-03,7,0,0.14285714285714285
2020-06-04,7,0,0.0
2020-06-05,8,1,0.14285714285714285
2020-06-06,8,0,0.14285714285714285
2020-06-07,8,0,0.14285714285714285
2020-06-08,8,0,0.14285714285714285
2020-06-09,8,0,0.14285714285714285
2020-06-10,8,0,0.14285714285714285
2020-06-11,8,0,0.14285714285714285
2020-06-12,8,0,0.0
2020-06-13,8,0,0.0
2020-06-14,8,0,0.0
2020-06-15,8,0,0.0
2020-06-16,9,1,0.14285714285714285
2020-06-17,9,0,0.14285714285714285
2020-06-18,9,0,0.14285714285714285
2020-06-19,9,0,0.14285714285714285
2020-06-20,9,0,0.14285714285714285
2020-06-21,9,0,0.14285714285714285
2020-06-22,9,0,0.14285714285714285
2020-06-23,9,0,0.0
2020-06-24,9,0,0.0
2020-06-25,9,0,0.0
2020-06-26,9,0,0.0
2020-06-27,9,0,0.0
2020-06-28,9,0,0.0
2020-06-29,9,0,0.0
2020-06-30,9,0,0.0
2020-07-01,9,0,0.0
2020-07-02,9,0,0.0
2020-07-03,9,0,0.0
2020-07-04,9,0,0.0
2020-07-05,9,0,0.0
2020-07-06,9,0,0.0
2020-07-07,10,1,0.14285714285714285
2020-07-08,10,0,0.14285714285714285
2020-07-09,10,0,0.14285714285714285
2020-07-10,10,0,0.14285714285714285
2020-07-11,13,3,0.5714285714285714
2020-07-12,13,0,0.5714285714285714
2020-07-13,13,0,0.5714285714285714
2020-07-14,14,1,0.5714285714285714
2020-07-15,15,1,0.7142857142857143
2020-07-16,16,1,0.8571428571428571
2020-07-17,17,1,1.0
2020-07-18,17,0,0.5714285714285714
2020-07-19,18,1,0.7142857142857143
2020-07-20,18,0,0.7142857142857143
2020-07-21,19,1,0.7142857142857143
2020-07-22,20,1,0.7142857142857143
2020-07-23,20,0,0.5714285714285714
2020-07-24,23,3,0.8571428571428571
2020-07-25,23,0,0.8571428571428571
2020-07-26,24,1,0.8571428571428571
2020-07-27,24,0,0.8571428571428571
2020-07-28,25,1,0.8571428571428571
2020-07-29,26,1,0.8571428571428571
2020-07-30,28,2,1.1428571428571428
2020-07-31,32,4,1.2857142857142858
2020-08-01,32,0,1.2857142857142858
2020-08-02,32,0,1.1428571428571428
2020-08-03,32,0,1.1428571428571428
2020-08-04,33,1,1.1428571428571428
2020-08-05,35,2,1.2857142857142858
2020-08-06,37,2,1.2857142857142858
2020-08-07,40,3,1.1428571428571428
2020-08-08,41,1,1.2857142857142858
2020-08-09,41,0,1.2857142857142858
2020-08-10,42,1,1.4285714285714286
2020-08-11,42,0,1.2857142857142858
2020-08-12,44,2,1.2857142857142858
2020-08-13,45,1,1.1428571428571428
2020-08-14,46,1,0.8571428571428571
2020-08-15,46,0,0.7142857142857143
2020-08-16,46,0,0.7142857142857143
2020-08-17,46,0,0.5714285714285714
2020-08-18,48,2,0.8571428571428571
2020-08-19,51,3,1.0
2020-08-20,56,5,1.5714285714285714
2020-08-21,56,0,1.4285714285714286
2020-08-22,56,0,1.4285714285714286
2020-08-23,56,0,1.4285714285714286
2020-08-24,57,1,1.5714285714285714
2020-08-25,57,0,1.2857142857142858
2020-08-26,59,2,1.1428571428571428
2020-08-27,59,0,0.42857142857142855
2020-08-28,60,1,0.5714285714285714
2020-08-29,60,0,0.5714285714285714
2020-08-30,60,0,0.5714285714285714
2020-08-31,61,1,0.5714285714285714
2020-09-01,62,1,0.7142857142857143
2020-09-02,64,2,0.7142857142857143
2020-09-03,64,0,0.7142857142857143
2020-09-04,64,0,0.5714285714285714
2020-09-05,66,2,0.8571428571428571
2020-09-06,67,1,1.0
2020-09-07,67,0,0.8571428571428571
2020-09-08,67,0,0.7142857142857143
2020-09-09,68,1,0.5714285714285714
2020-09-10,70,2,0.8571428571428571
2020-09-11,70,0,0.8571428571428571
2020-09-12,70,0,0.5714285714285714
2020-09-13,71,1,0.5714285714285714
2020-09-14,71,0,0.5714285714285714
2020-09-15,71,0,0.5714285714285714
2020-09-16,71,0,0.42857142857142855
2020-09-17,71,0,0.14285714285714285
2020-09-18,71,0,0.14285714285714285
2020-09-19,71,0,0.14285714285714285
2020-09-20,71,0,0.0
2020-09-21,71,0,0.0
2020-09-22,71,0,0.0
2020-09-23,72,1,0.14285714285714285
2020-09-24,72,0,0.14285714285714285
2020-09-25,72,0,0.14285714285714285
2020-09-26,77,5,0.8571428571428571
2020-09-27,77,0,0.8571428571428571
2020-09-28,77,0,0.8571428571428571
2020-09-29,79,2,1.1428571428571428
2020-09-30,79,0,1.0
2020-10-01,80,1,1.1428571428571428
2020-10-02,82,2,1.4285714285714286
2020-10-03,84,2,1.0
2020-10-04,84,0,1.0
2020-10-05,84,0,1.0
2020-10-06,84,0,0.7142857142857143
2020-10-07,86,2,1.0
2020-10-08,86,0,0.8571428571428571
2020-10-09,86,0,0.5714285714285714
2020-10-10,88,2,0.5714285714285714
2020-10-11,88,0,0.5714285714285714
2020-10-12,88,0,0.5714285714285714
2020-10-13,91,3,1.0
2020-10-14,93,2,1.0
2020-10-15,95,2,1.2857142857142858
2020-10-16,95,0,1.2857142857142858
2020-10-17,97,2,1.2857142857142858
2020-10-18,97,0,1.2857142857142858
2020-10-19,97,0,1.2857142857142858
2020-10-20,97,0,0.8571428571428571
2020-10-21,99,2,0.8571428571428571
2020-10-22,99,0,0.5714285714285714
2020-10-23,99,0,0.5714285714285714
2020-10-24,99,0,0.2857142857142857
2020-10-25,99,0,0.2857142857142857
2020-10-26,99,0,0.2857142857142857
2020-10-27,99,0,0.2857142857142857
2020-10-28,100,1,0.14285714285714285
2020-10-29,100,0,0.14285714285714285
2020-10-30,100,0,0.14285714285714285
2020-10-31,100,0,0.14285714285714285
2020-11-01,100,0,0.14285714285714285
2020-11-02,100,0,0.14285714285714285
2020-11-03,100,0,0.14285714285714285
2020-11-04,102,2,0.2857142857142857
2020-11-05,104,2,0.5714285714285714
2020-11-06,105,1,0.7142857142857143
2020-11-07,105,0,0.7142857142857143
2020-11-08,105,0,0.7142857142857143
2020-11-09,105,0,0.7142857142857143
2020-11-10,105,0,0.7142857142857143
2020-11-11,105,0,0.42857142857142855
2020-11-12,105,0,0.14285714285714285
2020-11-13,105,0,0.0
2020-11-14,105,0,0.0
2020-11-15,105,0,0.0
2020-11-16,105,0,0.0
2020-11-17,105,0,0.0
2020-11-18,107,2,0.2857142857142857
2020-11-19,106,-1,0.14285714285714285
2020-11-20,106,0,0.14285714285714285
2020-11-21,106,0,0.14285714285714285
2020-11-22,106,0,0.14285714285714285
2020-11-23,106,0,0.14285714285714285
2020-11-24,107,1,0.2857142857142857
2020-11-25,107,0,0.0
2020-11-26,107,0,0.14285714285714285
2020-11-27,107,0,0.14285714285714285
2020-11-28,107,0,0.14285714285714285
2020-11-29,108,1,0.2857142857142857
2020-11-30,108,0,0.2857142857142857
2020-12-01,108,0,0.14285714285714285
2020-12-02,108,0,0.14285714285714285
2020-12-03,108,0,0.14285714285714285
2020-12-04,108,0,0.14285714285714285
2020-12-05,108,0,0.14285714285714285
2020-12-06,108,0,0.0
2020-12-07,108,0,0.0
2020-12-08,108,0,0.0
2020-12-09,108,0,0.0
2020-12-10,108,0,0.0
2020-12-11,108,0,0.0
2020-12-12,108,0,0.0
2020-12-13,109,1,0.14285714285714285
2020-12-14,109,0,0.14285714285714285
2020-12-15,109,0,0.14285714285714285
2020-12-16,110,1,0.2857142857142857
2020-12-17,110,0,0.2857142857142857
2020-12-18,111,1,0.42857142857142855
2020-12-19,111,0,0.42857142857142855
2020-12-20,111,0,0.2857142857142857
2020-12-21,111,0,0.2857142857142857
2020-12-22,112,1,0.42857142857142855
2020-12-23,112,0,0.2857142857142857
2020-12-24,112,0,0.2857142857142857
2020-12-25,112,0,0.14285714285714285
2020-12-26,112,0,0.14285714285714285
2020-12-27,114,2,0.42857142857142855
2020-12-28,114,0,0.42857142857142855
2020-12-29,116,2,0.5714285714285714
2020-12-30,116,0,0.5714285714285714
2020-12-31,116,0,0.5714285714285714
2021-01-01,116,0,0.5714285714285714
2021-01-02,116,0,0.5714285714285714
2021-01-03,117,1,0.42857142857142855
2021-01-04,117,0,0.42857142857142855
2021-01-05,119,2,0.42857142857142855
2021-01-06,119,0,0.42857142857142855
2021-01-07,119,0,0.42857142857142855
2021-01-08,119,0,0.42857142857142855
2021-01-09,119,0,0.42857142857142855
2021-01-10,119,0,0.2857142857142857
2021-01-11,119,0,0.2857142857142857
2021-01-12,121,2,0.2857142857142857
2021-01-13,121,0,0.2857142857142857
2021-01-14,122,1,0.42857142857142855
2021-01-15,122,0,0.42857142857142855
2021-01-16,123,1,0.5714285714285714
2021-01-17,123,0,0.5714285714285714
2021-01-18,123,0,0.5714285714285714
2021-01-19,124,1,0.42857142857142855
2021-01-20,124,0,0.42857142857142855
2021-01-21,124,0,0.2857142857142857
2021-01-22,125,1,0.42857142857142855
2021-01-23,125,0,0.2857142857142857
2021-01-24,125,0,0.2857142857142857
2021-01-25,125,0,0.2857142857142857
2021-01-26,125,0,0.14285714285714285
2021-01-27,125,0,0.14285714285714285
2021-01-28,125,0,0.14285714285714285
2021-01-29,125,0,0.0
2021-01-30,125,0,0.0
2021-01-31,125,0,0.0
2021-02-01,125,0,0.0
2021-02-02,125,0,0.0
2021-02-03,125,0,0.0
2021-02-04,125,0,0.0
2021-02-05,125,0,0.0
2021-02-06,125,0,0.0
2021-02-07,125,0,0.0
2021-02-08,125,0,0.0
2021-02-09,125,0,0.0
2021-02-10,125,0,0.0
2021-02-11,125,0,0.0
2021-02-12,125,0,0.0
2021-02-13,126,1,0.14285714285714285
2021-02-14,126,0,0.14285714285714285
