date,county,state,fips,cases,deaths
2020-03-12,Carson City,Nevada,32510,1,0
2020-03-13,Carson City,Nevada,32510,1,0
2020-03-14,Carson City,Nevada,32510,1,0
2020-03-15,Carson City,Nevada,32510,1,0
2020-03-16,Carson City,Nevada,32510,1,0
2020-03-17,Carson City,Nevada,32510,1,0
2020-03-18,Carson City,Nevada,32510,1,0
2020-03-19,Carson City,Nevada,32510,2,0
2020-03-20,Carson City,Nevada,32510,3,0
2020-03-21,Carson City,Nevada,32510,3,0
2020-03-22,Carson City,Nevada,32510,3,0
2020-03-23,Carson City,Nevada,32510,3,0
2020-03-24,Carson City,Nevada,32510,3,0
2020-03-25,Carson City,Nevada,32510,3,0
2020-03-26,Carson City,Nevada,32510,4,0
2020-03-27,Carson City,Nevada,32510,4,0
2020-03-28,Carson City,Nevada,32510,5,0
2020-03-29,Carson City,Nevada,32510,5,0
2020-03-30,Carson City,Nevada,32510,5,0
2020-03-31,Carson City,Nevada,32510,5,0
2020-04-01,Carson City,Nevada,32510,5,0
2020-04-02,Carson City,Nevada,32510,8,0
2020-04-03,Carson City,Nevada,32510,9,0
2020-04-04,Carson City,Nevada,32510,10,0
2020-04-05,Carson City,Nevada,32510,10,0
2020-04-06,Carson City,Nevada,32510,11,0
2020-04-07,Carson City,Nevada,32510,13,0
2020-04-08,Carson City,Nevada,32510,14,0
2020-04-09,Carson City,Nevada,32510,14,0
2020-04-10,Carson City,Nevada,32510,16,0
2020-04-11,Carson City,Nevada,32510,16,0
2020-04-12,Carson City,Nevada,32510,16,0
2020-04-13,Carson City,Nevada,32510,22,0
2020-04-14,Carson City,Nevada,32510,23,0
2020-04-15,Carson City,Nevada,32510,25,0
2020-04-16,Carson City,Nevada,32510,26,0
2020-04-17,Carson City,Nevada,32510,27,0
2020-04-18,Carson City,Nevada,32510,28,0
2020-04-19,Carson City,Nevada,32510,28,0
2020-04-20,Carson City,Nevada,32510,28,0
2020-04-21,Carson City,Nevada,32510,28,0
2020-04-22,Carson City,Nevada,32510,28,1
2020-04-23,Carson City,Nevada,32510,33,1
2020-04-24,Carson City,Nevada,32510,33,1
2020-04-25,Carson City,Nevada,32510,34,1
2020-04-26,Carson City,Nevada,32510,37,1
2020-04-27,Carson City,Nevada,32510,39,1
2020-04-28,Carson City,Nevada,32510,44,1
2020-04-29,Carson City,Nevada,32510,44,1
2020-04-30,Carson City,Nevada,32510,45,1
2020-05-01,Carson City,Nevada,32510,47,1
2020-05-02,Carson City,Nevada,32510,48,1
2020-05-03,Carson City,Nevada,32510,48,1
2020-05-04,Carson City,Nevada,32510,48,1
2020-05-05,Carson City,Nevada,32510,51,1
2020-05-06,Carson City,Nevada,32510,51,1
2020-05-07,Carson City,Nevada,32510,51,1
2020-05-08,Carson City,Nevada,32510,51,1
2020-05-09,Carson City,Nevada,32510,51,1
2020-05-10,Carson City,Nevada,32510,55,2
2020-05-11,Carson City,Nevada,32510,55,2
2020-05-12,Carson City,Nevada,32510,56,2
2020-05-13,Carson City,Nevada,32510,58,2
2020-05-14,Carson City,Nevada,32510,58,2
2020-05-15,Carson City,Nevada,32510,58,2
2020-05-16,Carson City,Nevada,32510,58,2
2020-05-17,Carson City,Nevada,32510,58,2
2020-05-18,Carson City,Nevada,32510,71,2
2020-05-19,Carson City,Nevada,32510,75,3
2020-05-20,Carson City,Nevada,32510,77,3
2020-05-21,Carson City,Nevada,32510,81,3
2020-05-22,Carson City,Nevada,32510,83,4
2020-05-23,Carson City,Nevada,32510,83,4
2020-05-24,Carson City,Nevada,32510,85,4
2020-05-25,Carson City,Nevada,32510,86,4
2020-05-26,Carson City,Nevada,32510,90,4
2020-05-27,Carson City,Nevada,32510,90,4
2020-05-28,Carson City,Nevada,32510,91,4
2020-05-29,Carson City,Nevada,32510,94,4
2020-05-30,Carson City,Nevada,32510,95,4
2020-05-31,Carson City,Nevada,32510,95,4
2020-06-01,Carson City,Nevada,32510,98,4
2020-06-02,Carson City,Nevada,32510,99,4
2020-06-03,Carson City,Nevada,32510,99,4
2020-06-04,Carson City,Nevada,32510,99,4
2020-06-05,Carson City,Nevada,32510,102,5
2020-06-06,Carson City,Nevada,32510,107,5
2020-06-07,Carson City,Nevada,32510,109,5
2020-06-08,Carson City,Nevada,32510,110,5
2020-06-09,Carson City,Nevada,32510,111,5
2020-06-10,Carson City,Nevada,32510,114,5
2020-06-11,Carson City,Nevada,32510,115,5
2020-06-12,Carson City,Nevada,32510,115,5
2020-06-13,Carson City,Nevada,32510,115,5
2020-06-14,Carson City,Nevada,32510,118,5
2020-06-15,Carson City,Nevada,32510,123,5
2020-06-16,Carson City,Nevada,32510,124,5
2020-06-17,Carson City,Nevada,32510,124,5
2020-06-18,Carson City,Nevada,32510,124,5
2020-06-19,Carson City,Nevada,32510,126,5
2020-06-20,Carson City,Nevada,32510,126,5
2020-06-21,Carson City,Nevada,32510,127,5
2020-06-22,Carson City,Nevada,32510,128,5
2020-06-23,Carson City,Nevada,32510,132,5
2020-06-24,Carson City,Nevada,32510,134,5
2020-06-25,Carson City,Nevada,32510,139,5
2020-06-26,Carson City,Nevada,32510,146,5
2020-06-27,Carson City,Nevada,32510,147,5
2020-06-28,Carson City,Nevada,32510,149,5
2020-06-29,Carson City,Nevada,32510,151,5
2020-06-30,Carson City,Nevada,32510,151,5
2020-07-01,Carson City,Nevada,32510,155,5
2020-07-02,Carson City,Nevada,32510,166,5
2020-07-03,Carson City,Nevada,32510,167,5
2020-07-04,Carson City,Nevada,32510,172,5
2020-07-05,Carson City,Nevada,32510,180,5
2020-07-06,Carson City,Nevada,32510,182,5
2020-07-07,Carson City,Nevada,32510,185,6
2020-07-08,Carson City,Nevada,32510,185,6
2020-07-09,Carson City,Nevada,32510,194,6
2020-07-10,Carson City,Nevada,32510,200,6
2020-07-11,Carson City,Nevada,32510,208,6
2020-07-12,Carson City,Nevada,32510,213,6
2020-07-13,Carson City,Nevada,32510,220,6
2020-07-14,Carson City,Nevada,32510,229,6
2020-07-15,Carson City,Nevada,32510,230,6
2020-07-16,Carson City,Nevada,32510,230,6
2020-07-17,Carson City,Nevada,32510,240,6
2020-07-18,Carson City,Nevada,32510,248,6
2020-07-19,Carson City,Nevada,32510,251,6
2020-07-20,Carson City,Nevada,32510,252,6
2020-07-21,Carson City,Nevada,32510,258,6
2020-07-22,Carson City,Nevada,32510,260,7
2020-07-23,Carson City,Nevada,32510,267,7
2020-07-24,Carson City,Nevada,32510,267,7
2020-07-25,Carson City,Nevada,32510,275,7
2020-07-26,Carson City,Nevada,32510,280,7
2020-07-27,Carson City,Nevada,32510,280,7
2020-07-28,Carson City,Nevada,32510,288,7
2020-07-29,Carson City,Nevada,32510,300,7
2020-07-30,Carson City,Nevada,32510,303,7
2020-07-31,Carson City,Nevada,32510,305,7
2020-08-01,Carson City,Nevada,32510,314,7
2020-08-02,Carson City,Nevada,32510,319,7
2020-08-03,Carson City,Nevada,32510,319,7
2020-08-04,Carson City,Nevada,32510,323,8
2020-08-05,Carson City,Nevada,32510,325,8
2020-08-06,Carson City,Nevada,32510,328,8
2020-08-07,Carson City,Nevada,32510,330,8
2020-08-08,Carson City,Nevada,32510,352,8
2020-08-09,Carson City,Nevada,32510,355,8
2020-08-10,Carson City,Nevada,32510,355,8
2020-08-11,Carson City,Nevada,32510,357,8
