date,active_cases,daily_deaths
2020-03-12,1.0,0
2020-03-13,1.0,0
2020-03-14,1.0,0
2020-03-15,1.0,0
2020-03-16,1.0,0
2020-03-17,1.0,0
2020-03-18,1.0,0
2020-03-19,2.0,0
2020-03-20,3.0,0
2020-03-21,3.0,0
2020-03-22,3.0,0
2020-03-23,3.0,0
2020-03-24,3.0,0
2020-03-25,3.0,0
2020-03-26,3.0,0
2020-03-27,3.0,0
2020-03-28,4.0,0
2020-03-29,4.0,0
2020-03-30,4.0,0
2020-03-31,4.0,0
2020-04-01,4.0,0
2020-04-02,6.0,0
2020-04-03,6.0,0
2020-04-04,7.0,0
2020-04-05,7.0,0
2020-04-06,8.0,0
2020-04-07,10.0,0
2020-04-08,11.0,0
2020-04-09,10.0,0
2020-04-10,12.0,0
2020-04-11,11.0,0
2020-04-12,11.0,0
2020-04-13,17.0,0
2020-04-14,18.0,0
2020-04-15,20.0,0
2020-04-16,18.0,0
2020-04-17,18.0,0
2020-04-18,18.0,0
2020-04-19,18.0,0
2020-04-20,17.0,0
2020-04-21,15.0,0
2020-04-22,14.0,1
2020-04-23,19.0,0
2020-04-24,17.0,0
2020-04-25,18.0,0
2020-04-26,21.0,0
2020-04-27,17.0,0
2020-04-28,21.0,0
2020-04-29,19.0,0
2020-04-30,19.0,0
2020-05-01,20.0,0
2020-05-02,20.0,0
2020-05-03,20.0,0
2020-05-04,20.0,0
2020-05-05,23.0,0
2020-05-06,23.0,0
2020-05-07,18.0,0
2020-05-08,18.0,0
2020-05-09,17.0,0
2020-05-10,18.0,1
2020-05-11,16.0,0
2020-05-12,12.0,0
2020-05-13,14.0,0
2020-05-14,13.0,0
2020-05-15,11.0,0
2020-05-16,10.0,0
2020-05-17,10.0,0
2020-05-18,23.0,0
2020-05-19,24.0,1
2020-05-20,26.0,0
2020-05-21,30.0,0
2020-05-22,32.0,1
2020-05-23,32.0,0
2020-05-24,30.0,0
2020-05-25,31.0,0
2020-05-26,34.0,0
2020-05-27,32.0,0
2020-05-28,33.0,0
2020-05-29,36.0,0
2020-05-30,37.0,0
2020-05-31,37.0,0
2020-06-01,27.0,0
2020-06-02,24.0,0
2020-06-03,22.0,0
2020-06-04,18.0,0
2020-06-05,19.0,1
2020-06-06,24.0,0
2020-06-07,24.0,0
2020-06-08,24.0,0
2020-06-09,21.0,0
2020-06-10,24.0,0
2020-06-11,24.0,0
2020-06-12,21.0,0
2020-06-13,20.0,0
2020-06-14,23.0,0
2020-06-15,25.0,0
2020-06-16,25.0,0
2020-06-17,25.0,0
2020-06-18,25.0,0
2020-06-19,24.0,0
2020-06-20,19.0,0
2020-06-21,18.0,0
2020-06-22,18.0,0
2020-06-23,21.0,0
2020-06-24,20.0,0
2020-06-25,24.0,0
2020-06-26,31.0,0
2020-06-27,32.0,0
2020-06-28,31.0,0
